SUM_Pop_White,name,
11372,46th St,1/
5113,Northern Blvd,4/
14441,46th St,4/
16067,82nd St - Jackson Hts,1/
20486,90th St - Elmhurst Av,1/
4761,Howard Beach - JFK Airport,2/
3908,Aqueduct - North Conduit Av,2/
7436,Briarwood - Van Wyck Blvd,4/
14220,Forest Hills - 71st Av,2/
1812,Sutphin Blvd,1/
1197,Jamaica Ctr - Parsons / Archer,2/
2363,225th St,1/
3027,Elder Ave,1/
1112,Longwood Ave,1/
14219,Astoria Blvd,1/
25934,Astoria - Ditmars Blvd,1/
1836,Jackson Ave,1/
2378,Prospect Ave,1/
929,Cypress Ave,1/
2276,174th St,1/
5777,Allerton Ave,1/
906,E 143rd St - St Mary's St,1/
3106,Kingsbridge Rd,4/
690,Bedford Park Blvd - Lehman College,1/
1446,Harlem - 148 St,4/
2150,Mt Eden Ave,1/
7306,Fordham Rd,1/
1805,170th St,1/
4176,Bedford Park Blvd,1/
2232,Marble Hill - 225th St,1/
13279,231st St,2/
3373,215th St,1/
2491,207th St,1/
4453,Inwood - 207th St,2/
5052,Van Cortlandt Park - 242nd St,4/
5812,West Farms Sq - E Tremont Av,1/
1375,219th St,1/
4585,Mosholu Pkwy,4/
5736,Norwood - 205th St,1/
2997,Burke Ave,1/
2508,Baychester Ave,1/
3687,Eastchester - Dyre Ave,1/
4707,Jamaica - 179th St,2/
1728,Wakefield - 241st St,4/
450,Botanic Garden,1/
549,Bushwick - Aberdeen,1/
101,Broadway Junction,4/
5484,Gun Hill Rd,2/
2411,E 180th St,2/
5189,Dyckman St,4/
7653,125th St,1/
3759,Franklin Ave - Fulton St,2/
838,149th St - Grand Concourse,1/
3443,3rd Ave - 149th St,2/
3602,167th St,1/
2294,Brook Ave,4/
1720,33rd St,4/
9446,40th St,1/
3871,145th St,1/
762,155th St,1/
3605,161st St - Yankee Stadium,2/
3159,Utica Ave,2/
7524,Steinway St,4/
4073,Kosciuszko St,1/
4752,Gates Ave,1/
4504,Central Ave,1/
6331,Knickerbocker Ave,1/
16995,30th Ave,1/
8062,Jefferson St,4/
3355,Morgan Ave,1/
269,Queens Plz,2/
15365,18th Ave,1/
14976,77th St,1/
14172,Bay Ridge Ave,1/
16059,50th St,1/
9477,Ft Hamilton Pkwy,1/
5325,25th Ave,1/
10638,Bay Pky,2/
6478,20th Ave,1/
9043,18th Ave,1/
15130,Bay Ridge - 95th St,1/
15962,86th St,1/
9909,79th St,1/
8713,71st St,1/
10448,20th Ave,1/
14115,18th Ave,4/
5488,62nd St,2/
557,New Utrecht Ave,2/
6353,Ave U,1/
8161,Kings Hwy,4/
18494,Brighton Beach,1/
21529,Sheepshead Bay,4/
16551,Ave U,1/
27706,Kings Hwy,2/
2575,Ave U,1/
7396,Kings Hwy,4/
8432,Neptune Ave,4/
7994,Ave X,1/
4820,Bay 50th St,1/
1740,Gravesend - 86th St,1/
8894,Ave P,1/
9668,Ave N,1/
2193,Bay Pky,1/
22376,Ave M,1/
7989,Bay Pky,1/
8372,Ave I,4/
14764,Ave J,1/
5089,Ave H,2/
17332,Neck Rd,1/
2934,21st St - Queensbridge,2/
11676,50th St,4/
1088,7th Ave,4/
745,47th-50th Sts - Rockefeller Ctr,2/
1794,57th St,1/
9897,Lexington Ave - 63rd St,2/
5057,Roosevelt Island - Main St,2/
8104,59th St - Columbus Circle,2/
959,49th St,4/
8318,57th St,1/
1385,5th Ave - 59th St,1/
8472,Lexington Ave - 59th St,4/
393,34th St - Penn Station,2/
22,Times Sq - 42nd St,2/
367,Fulton St,2/
698,Chambers St,1/
9331,42nd St - Port Authority Bus Term,2/
7002,Myrtle-Willoughby Aves,1/
20227,Flushing Ave,1/
7154,23rd St,1/
821,Herald Sq - 34th St,2/
2446,Hoyt - Schermerhorn Sts,4/
721,Jay St - MetroTech,2/
9100,East Broadway,1/
1952,Delancey St - Essex St,4/
15599,Lower East Side - 2nd Ave,1/
4267,Flushing Ave,2/
4500,Myrtle Ave,4/
2870,4th Av - 9th St,1/
4989,Smith - 9th Sts,1/
12055,Bergen St,1/
997,Jay St - MetroTech,2/
9138,Court St,1/
1866,Union Sq - 14th St,2/
3427,23rd St,1/
7705,Prospect Ave,1/
5425,4th Av - 9th St,1/
10188,3rd Ave,1/
3413,Union Sq - 14th St,2/
581,Liberty Ave,1/
229,Broadway Junction,1/
5275,59th St,1/
7570,45th St,1/
3441,36th St,4/
3563,9th Ave,1/
7585,53rd St,1/
17676,Ft Hamilton Pkwy,1/
4504,25th St,1/
17468,Carroll St,1/
3372,Spring St,1/
8658,181st St,4/
4365,190th St,1/
4108,116th St,1/
3837,125th St,2/
1825,Prince St,1/
8513,8th St - NYU,1/
5410,Fulton St,2/
306,Park Pl,1/
5501,Chambers St,2/
912,Hoyt St,1/
985,Borough Hall,2/
1898,183rd St,1/
3055,Fordham Rd,2/
1148,World Trade Center,2/
1098,Canal St - Holland Tunnel,1/
3308,155th St,1/
4220,163rd St - Amsterdam Av,1/
655,Fulton St,2/
2042,Chambers St,1/
1394,Canal St,1/
1305,City Hall,1/
1373,Canal St,1/
280,South Ferry,2/
2699,Bowling Green,2/
501,Wall St,1/
449,Whitehall St,1/
213,Rector St,1/
23506,Fresh Pond Rd,1/
20475,Middle Village - Metropolitan Ave,2/
5857,Rector St,1/
3657,Cortlandt St,1/
1307,Fulton St,2/
593,Broad St,1/
607,Cortlandt St,2/
6112,Wall St,1/
6655,Dyckman St,1/
2396,Grand St,1/
2393,Broadway - Lafayette St,2/
2399,Bowery,1/
294,Canal St,1/
11919,23rd St,1/
3966,34th St - Penn Station,2/
2068,Jackson Hts - Roosevelt Av,2/
3889,14th St,4/
2831,135th St,1/
3499,14th St,4/
5067,6th Ave,4/
8643,8th Ave,1/
7295,14th St,2/
3496,Nostrand Ave,1/
4976,Clark St,1/
1605,Franklin Ave,2/
6103,Clinton - Washington Aves,1/
20340,Forest Ave,1/
6108,110th St,4/
19750,86th St,4/
5139,York St,1/
5556,High St,1/
1884,Lafayette Ave,1/
3833,President St,1/
2004,Woodlawn,1/
4682,Bleecker St,2/
9290,103rd St,1/
4571,Euclid Ave,2/
5307,88th St,1/
5476,Cortelyou Rd,1/
5787,116th St,1/
8301,Parkchester,4/
4143,Franklin St,1/
3348,80th St,1/
851,5th Ave - Bryant Pk,4/
2526,Spring St,1/
3395,125th St,1/
7278,Coney Island - Stillwell Av,2/
9803,34th St - Hudson Yards,2/
34332,72nd St,2/
45333,86th St,2/
18382,96th St,2/
