Newkirk Ave,12.7944,15.2424,1/
Brooklyn College - Flatbush Ave,24.912,25.1532,2/
Sterling St,9.4176,7.902,1/
Crown Hts - Utica Ave,16.9344,13.662,2/
Kingston Ave,12.9456,12.1248,1/
Nassau Ave,6.4944,6.7752,1/
Greenpoint Ave,5.0112,6.3612,1/
Marcy Ave,36.0288,13.32,2/
Hewes St,9.5544,3.204,1/
138th St - Grand Concourse,1.188,0.882,1/
5th Ave - 53rd St,0.1728,0.5904,1/
Lexington Ave - 53rd St,5.9112,24.966,2/
28th St,0.9504,0.9504,1/
Herald Sq - 34th St,0.072,0.2592,2/
1st Ave,12.564,26.856,1/
Times Sq - 42nd St,0.036,0.4644,1/
Metropolitan Ave,1.4112,2.0556,3/
Grand St,1.6632,2.8044,3/
Graham Ave,5.004,3.7584,1/
Bedford Ave,10.6416,5.274,1/
Montrose Ave,2.0808,4.5972,1/
Long Island City - Court Sq,0.3528,0.054,1/
21st St,1.6056,0.54,1/
39th Ave,0.252,0.6192,1/
145th St,6.3648,6.7428,1/
157th St,5.58,11.1636,1/
96th St,11.9592,24.1164,2/
103rd St,5.2632,14.3712,1/
Central Park North (110th St),5.4936,4.4136,1/
103rd St,3.9528,7.8624,1/
72nd St,10.9656,23.2524,2/
81st St,3.1176,4.7088,3/
75th Ave,5.7384,6.4332,1/
86th St,6.6744,8.6904,1/
Cathedral Pkwy (110th St),2.34,7.9344,1/
116th St - Columbia University,1.8792,4.59,1/
125th St,6.552,4.986,1/
135th St,13.284,11.61,2/
116th St,6.5016,5.6484,1/
Tremont Ave,12.6936,7.488,3/
137th St - City College,6.336,8.784,3/
145th St,10.116,6.516,1/
176th St,17.9568,8.7912,1/
Burnside Ave,13.788,6.7068,3/
170th St,18.2232,10.1412,1/
168th St,1.5408,2.0088,3/
181st St,9.4032,9.774,1/
191st St,8.6688,14.4504,1/
175th St,10.0584,12.7008,2/
Beach 44th St,3.024,2.52,1/
Beach 60th St,3.6648,2.898,1/
Beach 98th St,1.836,1.2456,1/
Rockaway Park - Beach 116 St,4.6368,8.8308,2/
Beach 36th St,3.6216,2.8872,1/
Beach 25th St,15.1848,12.1644,1/
Parsons Blvd,9.7128,7.2468,3/
169th St,13.7448,10.8216,1/
103rd St - Corona Plaza,31.0896,14.8176,1/
111th St,22.68,9.342,1/
63rd Dr - Rego Park,10.3608,21.7008,1/
Grant Ave,9.1728,6.1056,1/
79th St,8.5968,14.148,1/
Atlantic Ave,4.4136,1.5948,1/
Christopher St - Sheridan Sq,3.2328,5.958,1/
Ozone Park - Lefferts Blvd,18.0864,19.3644,2/
Times Sq - 42nd St,0,0,2/
W 8th St - NY Aquarium,0.504,3.7044,1/
28th St,0.7128,1.9908,1/
28th St,4.7304,12.5568,4/
Pelham Bay Park,5.2344,10.4076,1/
Westchester Sq - E Tremont Ave,5.904,3.9924,1/
18th St,0.3168,0.666,1/
Grand Central - 42nd St,6.0768,15.5196,2/
Beach 67th St,7.2,4.8492,4/
W 4th St - Washington Sq (Upper),0.9864,3.7872,2/
85th St - Forest Pky,7.1784,5.9148,1/
Woodhaven Blvd,7.1136,10.0836,1/
111th St,8.5896,5.274,1/
121st St,9.4824,10.0476,1/
Halsey St,6.8472,4.6584,1/
Myrtle - Wyckoff Aves,3.024,3.0312,2/
New Lots Ave,11.0376,10.6308,4/
Van Siclen Ave,3.9024,2.8692,1/
Cleveland St,4.0392,2.7072,1/
Livonia Ave,1.2312,0.756,1/
Junius St,2.9088,4.1112,4/
Rockaway Ave,6.8256,6.4944,1/
Canarsie - Rockaway Pkwy,15.5592,16.6824,2/
E 105th St,9.1296,10.53,1/
Saratoga Ave,13.7808,19.5012,1/
Sutter Ave - Rutland Road,17.64,17.6436,1/
New Lots Ave,3.852,4.1076,1/
Broadway Junction,0.9216,0.2952,4/
Alabama Ave,1.5192,1.0116,1/
Shepherd Ave,8.3088,3.6504,1/
Crescent St,7.38,3.5964,1/
Cypress Hills,3.276,1.5444,1/
75th St - Eldert Ln,6.6168,4.2156,1/
69th St,6.9696,8.6544,1/
74th St - Broadway,7.4088,9.9576,2/
Woodhaven Blvd - Queens Mall,22.6584,24.7284,4/
Myrtle - Wyckoff Aves,2.7216,2.2428,2/
Seneca Ave,7.812,4.014,1/
DeKalb Ave,5.9472,4.2624,1/
52nd St,4.4712,8.3304,1/
46th St,5.0616,9.2628,1/
Northern Blvd,3.456,5.9364,4/
46th St,9.1944,10.0548,4/
82nd St - Jackson Hts,12.9744,20.106,1/
90th St - Elmhurst Av,22.572,24.5016,1/
Howard Beach - JFK Airport,1.5696,4.1148,2/
Aqueduct - North Conduit Av,2.7072,4.3812,2/
Briarwood - Van Wyck Blvd,7.6968,9.846,4/
Forest Hills - 71st Av,11.0808,17.406,2/
Sutphin Blvd,7.092,6.7356,1/
Jamaica Ctr - Parsons / Archer,8.4528,9.036,2/
225th St,11.7072,7.6068,1/
Elder Ave,14.1912,10.3284,1/
Longwood Ave,6.0408,3.4848,1/
Astoria Blvd,7.2,9.0612,1/
Astoria - Ditmars Blvd,12.5496,16.2324,1/
Jackson Ave,9.2664,4.572,1/
Prospect Ave,12.0888,7.5312,1/
Cypress Ave,4.5288,1.872,1/
174th St,13.4496,6.7464,1/
Allerton Ave,10.188,10.1664,1/
E 143rd St - St Mary's St,3.1752,1.5624,1/
Kingsbridge Rd,19.0224,8.6616,4/
Bedford Park Blvd - Lehman College,1.7568,1.5516,1/
Harlem - 148 St,4.8384,3.294,4/
Mt Eden Ave,11.664,7.3296,1/
Fordham Rd,22.5792,9.4104,1/
170th St,11.0016,5.616,1/
Bedford Park Blvd,14.5872,7.1352,1/
Marble Hill - 225th St,6.4152,5.2596,1/
231st St,17.1576,22.0788,2/
215th St,2.376,3.6396,1/
207th St,3.7728,4.7988,1/
Inwood - 207th St,4.0176,5.0256,2/
Van Cortlandt Park - 242nd St,2.9376,3.9096,4/
West Farms Sq - E Tremont Av,17.1648,15.1164,1/
219th St,8.8056,7.8336,1/
Mosholu Pkwy,8.7408,6.2064,4/
Norwood - 205th St,14.8536,7.0812,1/
Burke Ave,9.4824,7.2828,1/
Baychester Ave,9.8064,13.4712,1/
Eastchester - Dyre Ave,7.308,16.0848,1/
Jamaica - 179th St,12.492,18.0828,2/
Wakefield - 241st St,5.8248,6.9804,4/
Botanic Garden,0.7344,0.7704,1/
Bushwick - Aberdeen,1.5624,0.8424,1/
Broadway Junction,0.1944,0.2052,4/
Gun Hill Rd,11.8224,19.1484,2/
E 180th St,8.0352,5.076,2/
Dyckman St,5.8968,9.8928,4/
125th St,8.0424,10.6776,1/
Franklin Ave - Fulton St,3.9816,3.9888,2/
149th St - Grand Concourse,3.0096,3.5496,1/
3rd Ave - 149th St,16.8336,10.5552,2/
167th St,12.7656,7.452,1/
Brook Ave,10.2096,4.9104,4/
33rd St,1.224,0.9324,4/
40th St,5.5872,6.6024,1/
145th St,7.1496,4.2552,1/
155th St,4.1616,2.7144,1/
161st St - Yankee Stadium,10.224,10.9368,2/
Utica Ave,14.5512,9.8496,2/
Steinway St,4.0248,4.6548,4/
Kosciuszko St,7.776,6.1524,1/
Gates Ave,8.532,8.8092,1/
Central Ave,4.8888,2.3652,1/
Knickerbocker Ave,8.352,4.6188,1/
30th Ave,9.1872,10.7352,1/
Jefferson St,6.8616,3.6612,4/
Morgan Ave,2.0736,0.9612,1/
Queens Plz,0.216,0.0864,2/
18th Ave,15.768,8.91,1/
77th St,9.7488,12.0168,1/
Bay Ridge Ave,12.9024,12.9564,1/
50th St,26.9424,8.9028,1/
Ft Hamilton Pkwy,10.9872,11.0628,1/
25th Ave,6.12,8.3052,1/
Bay Pky,9.864,13.0644,2/
20th Ave,8.2368,6.3036,1/
18th Ave,8.8416,6.7536,1/
Bay Ridge - 95th St,7.1784,14.1984,1/
86th St,10.548,12.3984,1/
79th St,9.9072,10.4652,1/
71st St,9.9144,10.9944,1/
20th Ave,13.0824,12.456,1/
18th Ave,14.1264,15.6996,4/
62nd St,7.2144,4.7844,2/
New Utrecht Ave,0.7272,0.972,2/
